,by,descendants,id,kids,score,time,title,type,url
0,caiobegotti,69,36892970,"[36893496, 36893648, 36893821, 36893606, 36893309, 36893833, 36893684, 36893427, 36893842, 36893310, 36893712, 36893398, 36893471, 36893578, 36893958, 36893364, 36893670, 36893200, 36893266]",80,1690463801,Wavy walls use fewer bricks than a straight wall (2020),story,https://twistedsifter.com/2020/06/how-wavy-crinkle-crankle-walls-use-less-bricks-than-straight-walls/
1,shortcrct,8,36893596,"[36893812, 36893832, 36893830, 36893885]",12,1690466277,Emotionally Numb: Expertise Dulls Consumer Experience,story,https://academic.oup.com/jcr/article/48/3/355/6171148
2,mikece,11,36893071,"[36894038, 36893890, 36894026]",85,1690464161,"Google's browser security plan slammed as dangerous, terrible, DRM for websites",story,https://www.theregister.com/2023/07/27/google_web_environment_integrity/
3,antidnan,20,36887816,"[36894027, 36892391, 36893019, 36891960, 36891908, 36893465, 36892066, 36892351, 36892103]",97,1690422416,KernType – A Letter Spacing Game,story,https://type.method.ac/
4,mfiguiere,139,36891642,"[36892940, 36894054, 36893416, 36893820, 36893556, 36892887, 36893227, 36893151, 36893197, 36893881, 36893389, 36893826, 36892897, 36893585, 36893803, 36893128, 36893693, 36893847, 36893394, 36892997, 36892937, 36893438, 36893143, 36892863, 36892857, 36893026, 36892861, 36893094, 36893350, 36893548]",228,1690454657,Tesla created secret team to suppress thousands of driving range complaints,story,https://www.reuters.com/investigates/special-report/tesla-batteries-range/
5,watusername,54,36889092,"[36892248, 36889283, 36890978, 36892080, 36889972, 36889254, 36890846, 36891332, 36889758]",160,1690433827,MacOS in QEMU – ARM edition [pdf],story,https://kvm-forum.qemu.org/media/2023/submissions/GDRJLK/resources/macOS_in_QEMU_on_ARM_FhJY65D.pdf
6,anderiv,193,36888954,"[36889237, 36890206, 36891020, 36889532, 36890730, 36889217, 36890682, 36889510, 36890327, 36893134, 36890202, 36892149, 36889238]",346,1690432436,Tarsnap outage postmortem,story,https://mail.tarsnap.com/tarsnap-announce/msg00050.html
7,lwhsiao,76,36888598,"[36893781, 36891031, 36889305, 36893791, 36889334, 36893430, 36893274, 36889110, 36890059, 36893412, 36892212, 36889784, 36889414, 36890041]",196,1690428841,"Depthboot – Your Chromebook, your way",story,https://eupnea-linux.github.io/
8,illdave,16,36891735,"[36892921, 36893480, 36892893, 36892250, 36892595]",27,1690455369,How I test site speed changes using Chrome's local overrides (2021),story,https://tryblackbird.com/blog/local-overrides
9,rntn,40,36892451,"[36893593, 36893554, 36893884, 36894012, 36893743, 36893829, 36893673, 36893466, 36892721, 36893942]",54,1690461081,EU opens Microsoft antitrust investigation into Teams bundling,story,https://www.theverge.com/2023/7/27/23797305/microsoft-teams-eu-antitrust-investigation-office-bundling-slack
